fecha,hora,cliente,tipo,monto
2025-06-03,18:46,Jose,ingreso,70942.55
2025-06-03,17:09,Juan,ingreso,47925.29
2025-06-03,17:20,Cecilia,transferencia,20362.23
2025-06-03,12:37,Jose,inversion,37376.02
2025-06-03,9:53,Laura,transferencia,77402.04
2025-06-03,9:01,Laura,transferencia,15906.8
2025-06-03,10:15,Juan,ingreso,77235.83
2025-06-03,16:31,Juan,ingreso,82488.53
2025-06-03,14:24,Jose,transferencia,73700.31
2025-06-03,9:32,Ana,transferencia,62069.59
2025-06-03,10:23,Pablo,egreso,59727.96
2025-06-03,12:53,Juan,egreso,49431.44
2025-06-03,9:26,Jose,ingreso,22639.06
2025-06-03,18:23,Cecilia,ingreso,57619.95
2025-06-03,11:49,Laura,inversion,61398.76
2025-06-03,14:35,Juan,transferencia,54013.78
2025-06-03,10:34,Ana,ingreso,81590.66
2025-06-03,12:16,Juan,ingreso,36897.19
2025-06-03,9:56,Pablo,ingreso,90746.6
2025-06-03,17:50,Cecilia,transferencia,35879.11
2025-06-03,15:53,Jose,transferencia,74566.11
2025-06-03,15:08,Ana,egreso,42561.33
2025-06-03,10:09,Laura,ingreso,42370.72
2025-06-03,13:11,Juan,ingreso,12940.28
2025-06-03,15:26,Juan,transferencia,96224.76
2025-06-03,10:06,Jose,transferencia,79877.88
2025-06-03,14:33,Jose,ingreso,99923.9
2025-06-03,11:58,Ana,transferencia,65951.65
2025-06-03,17:34,Jose,inversion,87748.31
2025-06-03,11:39,Ana,inversion,47301.01
2025-06-03,13:16,Jose,inversion,4700.81
2025-06-03,9:48,Juan,ingreso,48362.48
2025-06-03,18:02,Pablo,inversion,12202.54
2025-06-03,11:22,Pablo,transferencia,65709.39
2025-06-03,17:38,Ana,transferencia,56008.18
2025-06-03,8:38,Laura,transferencia,45030.49
2025-06-03,12:04,Laura,transferencia,1719.61
2025-06-03,8:35,Laura,ingreso,58360.88
2025-06-03,12:49,Juan,transferencia,30122.68
2025-06-03,11:17,Cecilia,egreso,90213.13
2025-06-03,14:02,Cecilia,egreso,17247.72
2025-06-03,16:33,Juan,inversion,50013.67
2025-06-03,15:42,Juan,inversion,23772.64
2025-06-03,12:16,Cecilia,egreso,67919.09
2025-06-03,10:52,Cecilia,inversion,1544.64
2025-06-03,17:13,Juan,inversion,7711.58
2025-06-03,12:03,Ana,ingreso,50490.43
2025-06-03,14:32,Pablo,egreso,61927.71
2025-06-03,17:27,Cecilia,egreso,5010.82
2025-06-03,15:06,Cecilia,egreso,53080.4
2025-06-03,9:41,Juan,inversion,53355.67
2025-06-03,8:04,Juan,egreso,5841.53
2025-06-03,12:33,Juan,transferencia,87021.68
2025-06-03,8:28,Juan,ingreso,15894.41
2025-06-03,14:48,Cecilia,ingreso,44054.53
2025-06-03,11:53,Ana,egreso,89030.94
2025-06-03,17:21,Juan,egreso,37626.23
2025-06-03,18:23,Cecilia,egreso,76921.94
2025-06-03,12:57,Ana,inversion,73427.06
2025-06-03,13:09,Laura,inversion,1303.65
2025-06-03,17:40,Ana,transferencia,68757.68
2025-06-03,18:50,Laura,egreso,46781.69
2025-06-03,13:57,Pablo,inversion,26667.62
2025-06-03,15:11,Pablo,transferencia,88171.15
2025-06-03,15:07,Cecilia,ingreso,41029.39
2025-06-03,10:09,Laura,ingreso,87941.91
2025-06-03,11:40,Jose,ingreso,88541.3
2025-06-03,12:10,Pablo,egreso,6235.89
2025-06-03,16:25,Juan,egreso,14131.58
2025-06-03,11:28,Ana,inversion,86852.39
2025-06-03,18:53,Cecilia,egreso,58125.74
2025-06-03,8:05,Ana,egreso,17620.71
2025-06-03,12:12,Laura,transferencia,49435.77
2025-06-03,15:42,Pablo,inversion,16054.97
2025-06-03,12:19,Juan,transferencia,95469.32
2025-06-03,15:25,Pablo,transferencia,24937.14
2025-06-03,8:19,Pablo,transferencia,13066.45
2025-06-03,11:52,Jose,inversion,76289.89
2025-06-03,14:47,Juan,transferencia,18505.47
2025-06-03,12:07,Pablo,ingreso,68006.06
2025-06-03,13:57,Ana,egreso,83033.22
2025-06-03,9:44,Ana,egreso,24276.58
2025-06-03,15:00,Jose,transferencia,56780.14
2025-06-03,17:21,Cecilia,transferencia,36142.34
2025-06-03,14:38,Juan,transferencia,58053.99
2025-06-03,9:28,Pablo,egreso,43563.47
2025-06-03,18:45,Ana,egreso,15677.51
2025-06-03,15:56,Pablo,transferencia,6899.02
2025-06-03,11:37,Juan,egreso,54510.4
2025-06-03,8:23,Ana,egreso,10351.06
2025-06-03,14:12,Cecilia,egreso,68301.19
2025-06-03,16:31,Juan,ingreso,22508.49
2025-06-03,10:27,Ana,ingreso,66003.49
2025-06-03,10:42,Laura,egreso,91717.4
2025-06-03,16:43,Pablo,egreso,6753.01
2025-06-03,11:50,Pablo,ingreso,3529.1
2025-06-03,14:24,Ana,inversion,30091.08
2025-06-03,17:43,Juan,egreso,29347.94
2025-06-03,12:15,Ana,ingreso,34516.65
2025-06-03,10:04,Jose,ingreso,18733.58
